Song,Artists,Lyrics,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation,
Apollo,"Hardwell, Amba Shepherd","Just one day in the life
So I can understand
Fighting just to survive
But you taught me I can
We are the lucky ones
We are, we are
Oh we are the lucky ones
We are, we are Just one day in the life
So I can understand
Fighting just to survive
But you taught me I can
We are the lucky ones
We are, we are
Oh we are the lucky ones
We are, we are
We are the lucky ones
We are, we are
Oh, we are the lucky ones
We are, we are",1,1,0,1,0,0,0,0,
Lullaby,"R3HAB, Mike Williams","Hypnotized, this love out of me
Without your air I can't even breathe
Lead my way out into the light
Sing your lullaby
Cherries in the ashtray
Take me through the day
I just gotta make you drunk in memory
See you in the puddles
Of my Chardonnay
Sleeping in my bathtub
But can wish you were late
Keep me safe up in the clouds
'Cause I can't come raining down
Make the monsters sleep in my mind
Sing your lullaby
Hypnotized, this love out of me
Without your air I can't even breathe
Lead my way out into the light
Sing your lullaby
Cherries in the ashtray
Take me through the day
I just gotta make you drunk in memory
See you in the puddles
Of my Chardonnay
Sleeping in my bathtub
But can wish you were late
Keep me safe up in the clouds
'Cause I can't come raining down
Make the monsters sleep in my mind
Sing your lullaby",0,0,1,0,1,0,0,0,
Melody (Tip Of My Tongue),Mike Williams,"I stand a little too close
You stare a little too long
We do this dance every time
You and I, you and I

Yeah, we're up in the air
Like the smoke from your lips
But I can't find my words
When I'm tracing your kiss I can taste, I can taste, I can taste it
In my mind, all the time, can you race it
What I do, for a shot of your love
I have you
I have you on the tip of my tongue
I have you on the tip of my tongue",1,1,0,0,0,0,0,1,
Take Me Home,"Cash Cash, Bebe Rexha","I'm falling to pieces
But I need this
Yeah, I need this
You're my fault
My weakness
When did you turn so cold
You cut me down to the bone
Now you're dancing
All over my soul
I'm falling to pieces
To pieces, to pieces
But I still stay cause you're the only thing I know
So won't you take, oh, won't you take me home
Take me home, home, home
Take me home, home, home
Take me
Take me
Take me
Take me
Take me home (home, home, home)
Round in circles
Here we go
With the highest highs
And the lowest lows
But no one shakes me like you do
My best mistake was you
You're my sweet affliction
Cause you hurt me right
But you do it nice
Round in circles
Here we go
Oh yeah
But I still stay cause your the only thing I know
So won't you take, oh, won't you take me home
Take me home, home, home
Take me home, home, home
Take me
Take me
Take me
Take me
Take me home, home, home
Take me home, home, home
Take me
Take me, I still stay, oh, won't you take me home
Take me home.",0,0,0,1,1,1,0,0,
City of Dreams,"Dirty South, Alesso ","Everything seems like a city of dreams,
I never know why,
But I still miss you.
There she's standing in a field of lights,
I close my eyes,
And I still miss you.
Oh, oh
And I still miss you,
Oh, oh
And I still miss you.
Everything seems like a city of dreams,
I never know why,
But I still miss you.
There she's standing in a field of lights,
I close my eyes,
But I still miss you.
Oh, oh
But I still miss you,
Oh, oh
But I still miss you.",0,0,0,1,1,0,0,0,
Let You Go ,"The Chainsmokers, Great Good Fine Ok","You end up alone after all that you've done
All that you've paid for
Did you get what you wanted?
Loaded the gun with all you were made of
When you're alone,
People don't think you know what you're made of, oh
You've been with me,
It's not up to see, it's all that you paid for
I'll find a way up, see you through what came to pay for
While we're alive, can we relax that, what are maids for
You were there for me
And I was there for you
No, never let you go!
You will always be the one that I regret
How will I let you go?
You're here in the way
How could you stay after that you've paid for
Leave it in time, won't let you wait
How could you be assured?
You're holding out hope
I'm seeing it too, trying to find home
I think I'm back again
And I've come to understand my will
You tell me that I can't pretend
I hear that you care about your stuff,
But the most of things might feel rough
Let you go
Holding a room for you
Holding a room
Holding a room for you
You were there for me
And I was there for you
No, never let you go!
You will always be the one that I regret
How will I let you go?
Let you go!
Let you go!
Let you go!
Let you go!
Holding a room for you!
Holding a room
Holding a room for you
You were there for me
And I was there for you
Oh oh, I remember times like that!
You will always be the one that I really love
Oh oh, never let you go!
Let you go!
Let you go!
Let you go!
Let you go!
Let you go!",0,0,0,1,1,1,1,0,
This is What It Feels Like,"Armin Van Buuren, Trevor Guthrie","Nobody here knocking at my door
The sound of silence I can't take anymore
Nobody ringing my telephone now
Oh how I miss such a beautiful sound
And I don't even know how I survive
I won't make it to the show without your light
No I don't even know if I'm alive
Oh, oh, oh without you now
This is what it feels like
Nothing to hold but the memories and frames
Oh they remind me of the battle I face
Without your love, without you I drown
Somebody save me I'm going down
And I don't even know how I survive
I won't make it to the show without your light
No I don't even know if I'm alive
Oh, oh, oh without you now
This is what it feels like
And I don't even know how I survive
I won't make it down the road with one headlight
No I don't even know if I'm alive
Oh, oh, oh without you now
This is what it feels like",0,0,1,0,1,0,0,0,
More Than You Know ,"Axwell, Ingrosso ","I just need to get it off my chest
Yeah, more than you know Yeah, more than you know
You should know that baby you're the best
Yeah, more than you know Yeah, more than you know
I saw it coming, from miles away
I better speak up if I got something to say
'Cause it ain't over, until she sings
You had your reasons, you had a few
But you knew that I would go anywhere for you
'Cause it ain't over, until she sings
I just need to get it off my chest
Yeah, more than you know Yeah, more than you know
You should know that baby you're the best
Yeah, more than you know Yeah, more than you know
I just
Your good intentions are sweet and pure
But they can never tame a fire like yours
No it ain't over, until she sings
Right where you wanted, down on my knees
You got me begging, pretty baby set me free
'Cause it ain't over, until she sings
Come a little closer, let me taste your smile
Until the morning lights
Ain't no going back the way you look tonight
I see it in your eyes
I just need to get it off my chest
Yeah, more than you know Yeah, more than you know
You should know that baby you're the best
Yeah, more than you know Yeah, more than you know
Yeah, more than you know yeah, more than you know
Yeah, more than you know yeah, more than you know
Yeah, more than you know yeah, more than you know
Yeah, more than you know yeah, more than you know
Yeah, more than you know yeah, more than you know
I just
I just need to get it off my chest
Yeah, more than you know yeah, more than you know
You should know that baby you're the best
Yeah, more than you know yeah, more than you know",1,0,0,0,0,0,0,1,
Sunrise,"ARTY, April Bender","Some days it's hard to make it
But I know we'll make it through
These winds are always changing
But I'm holding on to you
I know that there are ups and downs
It's hard to stand and face it
As long as we're together now
The moment's never wasted
Some love is made for the daylight
Some love is made just for midnight
Our hearts will fade into black skies
Then we'll come back to life in the sunrise
Hello will turn into goodbye
But you know we're still on the same side
Our hearts will fade into black skies
Then we'll come back to life in the sunrise
Then we'll come back to life in the sunrise
Sometimes it's like a rainstorm
All our problems pouring down
But I'm not running from the real thing
This feeling we found
I know that there are ups and downs
It's hard to stand and face it
As long as we're together now
The moment's never wasted
Some love is made for the daylight
Some love is made just for midnight
Our hearts will fade into black skies
Then we'll come back to life in the sunrise
Hello will turn into goodbye
But you know we're still on the same side
Our hearts will fade into black skies
Then we'll come back to life in the sunrise
Some love is made for the daylight
Some love is made just for midnight
Our hearts will fade into black skies
Then we'll come back to life in the sunrise",1,1,0,0,0,0,0,1,
Solo,"Clean Bandit, Demi Lovato","This solo, solo, everybody
This solo, everybody
This solo, solo, everybody
I never meant to leave you hurtin'
I never meant to do the worst thing
Not to you (this solo, solo, everybody)
'Cause every time I read your message
I wish I wasn't one of your exes
Now I'm the fool (this solo, solo, everybody)
Since you been gone
I've been dancing on my own
There's boys up in my zone
But they can't turn me on
'Cause baby, you're the only one I'm coming for
I can't take no more, no more, no more
I wanna fuck woop, woop woop, but I'm broken hearted
Cry but I like to party
Touch but I got nobody
Here on my own
I wanna fuck woop, woop woop, but I'm broken hearted
Cry since the day we parted
Touch but I got nobody
So I do it solo
This solo, solo, everybody
This solo, everybody
This solo, solo, everybody
So I do it solo
This solo, solo, everybody
This solo, everybody
This solo, solo, everybody
I do it solo
Every single night I lose it
I can't even hear the music without you (it solo, solo, everybody)
Ah, yeah, yeah
Try to stop myself from calling
But I really wanna know if you're with someone new (it solo, solo, everybody)
Since you been gone
I've been dancing on my own
There's boys up in my zone
But they can't turn me on
'Cause baby, you're the only one I'm coming for
I can't take no more, no more, no more
I wanna fuck woop, woop woop, but I'm broken hearted
Cry but I like to party
Touch but I got nobody
Here on my own
I wanna fuck woop, woop woop, but I'm broken hearted
Cry since the day we parted
Touch but I got nobody
So I do it solo
This solo, solo, everybody
This solo, everybody
This solo, solo, everybody
I do it solo
This solo, solo, everybody
This solo, everybody
This solo, solo, everybody
So do it solo
Can't do it solo
I wanna fuck woop, woop woop, but I'm broken hearted
Cry but I like to party
Touch but I got nobody
Here on my own (here on my own)
I wanna fuck woop, woop woop, but I'm broken hearted
Cry since the day we parted
Touch but I got nobody
So I do it solo
This solo, solo, everybody
This solo, everybody
This solo, solo, everybody
I do it solo
This solo, solo, everybody
This solo, everybody
This solo, solo, everybody
I do it solo
So I do it solo",0,0,0,0,1,1,0,0,
